Owner Bucket  ?,Case Number,Account Name,Subject,Description,Resolution/Root Cause,Priority,Primary CSM,Created By,Date/Time Opened,Case Age,Category,Sub-Category,Age,Business Hours Age
Estuate,207752,"SailPoint Technologies, Inc.",Forecast Categories and Stage Changes,"We are making sales stage and forecast category changes in SFDC going live 2/4. I have attached a diagram of the changes. We need to realign the sales stages in analytics and saved views as well as adjust the forecast tabs. Ty Lapinski was briefed on the overall project and can help provide guidance. I am also happy to jump on a call to clarify the changes needed. 

If we could get the mapping set up in our sandbox in the next few days to be tested and then roll out everything to the main instance on 2/4 that would be great.","Jan 16: Support case raised 00208747

Jan 27 : Raised a support case for the breaking analytics module 00210438

We have mapped the old stage values to the new stage values as requested in production.

And we have even updated the Forecast views wit",P3,Lyuda Rogers,Jen Fomby,"1/8/2025, 7:28 AM",36,Configuration,Forecast - Update,873,425.2161111
,208001,"Juniper Networks, Inc.","Update Forecast Headers and remap ""Technology Use case"" field values","Note: this work needs to be done on January 31st. Want to make sure that we secure a resource to complete it on the desired date.

Customer would like to make the below replacements to the headers of three columns in the ""BU Forecast"" Tab:

AIDE SA QTD > C&B SA QTD
CRDC SA QTD > DC SA QTD
AWAN SA QTD > WAN SA QTD","updated the column names in the ""BU Forecast"" tab as follows:

AIDE SA QTD ? C&B SA QTD
CRDC SA QTD ? DC SA QTD
AWAN SA QTD ? WAN SA QTD
Additionally, I have updated the value for the ""Technology Use Case"" field, and it is now reflecting in the C&B S",Low,Stephanie Ervin,Stephanie Ervin,"1/9/2025, 1:50 PM",27,Configuration,Forecast - Update,654,308.1661111
,208485,"Genesys Cloud Services, Inc.",Forecast Config. Changes,Summary of desired changes available here - https://docs.google.com/document/d/1DHBuWt1xKevK-NRmiUCMW8itPpvyJk2uS0deVnnYWR4/edit?tab=t.0,"Removed the ""Platforms"" tab",Low,Whitney Drazovich,Whitney Drazovich,"1/14/2025, 3:41 PM",19,Configuration,Forecast - Update,461,210.3138889
,208739,Nutanix,Add NAI Product Forecast to Potfolio Products Tab,"Hi Team,

Similar to Case Reference# 00194905 where we added NKP columns, we would like to add NAI. 

We would like to add our new NAI product forecast to the Portfolio Products tab.

Please add the below forecast columns similar to other Portfolio Products tab columns:
Logic:
Mode: ""Splits""
Aggregation Field: Split NKP  ""Split_NAI__c""
Sort Field: ACV Amount ""opportunity.acv_amount__c""
All the Filter Logic remains the same as other Portfolio Products. Ex: NCM, NDB, NKP and make sure tot update the 'Split NAI' filter not in [""= 0"", ""Value Not Assigned""]

Number of Columns:
> NAI Quota
> NAI Closed
> NAI Call
> NAI Commit
> NAI Strong Upside
> NAI Total Funnel
> NAI Attach Rate

Column Placement:
Next to ""NKP Attach Rate"" Column

Please let me know if you have any questions.

Thanks,
Samson R",The field is loaded and we have created the new columns under the Portfolio Products tab as requested,Low,Cortney Fickey,Samson R,"1/16/2025, 8:00 AM",18,Configuration,Forecast - Update,441,200.7094444
,209889,REMOTE EUROPE HOLDING B.V.,Can we create a new Tab (duplicate existing Overlay (NEW) tab and add additional Columns?,"In the forecast Module, I would like to request we duplicate the Overlay (NEW) tab (label it Overlay (NEW 2) and add a few extra Columns to the new Overlay (NEW 2)

Column 1: Label: Multiplier Amount (this should be calculated as ""Quota Retirement Amount multiplied by the Split %"" minus ""Split Amount"".
Column 2: Overlay Amount (This should be calculated as the Overlay ARR Split Amount).
+ Replace the Closed Won Total with ""Quota Retirement Amount multiplied by the Split %"" and attainment should be calculated against this number.

PLEASE DO NOT ALTER THE EXISTING ""OVERLAY (NEW)"" tab. Any changes should only be made in the Duplicated ""OVERLAY (NEW 2) tab.

Thank you",created the new INTEGRAL (NEW),P3,Said Mussa,Hind Zerrouki,"1/22/2025, 2:52 AM",20,Configuration,Forecast - Update,486,229.9244444
,210069,Coursera Inc,Few additions into a forecast tab,"See attached G Sheet- please add new columns in the ""Bookings Summary"" forecast tab as per the yellow highlighted cells. Let me know if you have any questions.","Created the columns and used the split mode for the ""Total Closed Won"" ""C4B Closed Won"" ""C4C Closed Won"" and ""C4G Closed Won"" columns in the ""Bookings Summary"" tab.",Low,Liz LeDoux Tajonar,Tyler Class,"1/23/2025, 7:14 AM",11,Configuration,Forecast - Update,262,110.4136111
,210189,Cohesity,Create a tab called Veritas Sales ACV which summarizes the Veritas forecast,"Requirements
Create a tab called Veritas Sales ACV which summarizes the Veritas forecast. This includes the inputs from both the legacy Veritas Reps and the Cohesity Reps that own Veritas Opportunities.Forecast Fields - Create fields in Clari to capture the Veritas calls by month (i.e. Month 1, Month 2, Month 3 of the quarter) - these would be manually updated by the AEs and rollup by the hierarchy similar to the Cohesity forecast tab
High/Low Fields - Create fields in Clari to capture High and Low forecast for the quarter
Actuals Fields - Create fields to capture the closed/won bookings - these would be updated by the admin manually or in bulk and rollup by the hierarchy
Rename the Splits Product (ACV) tab to Cohesity Sales ACV
Create a summary tab that consolidates the Cohesity Sales ACV and the Veritas Sales ACV tabs

Summary Document: https://docs.google.com/spreadsheets/d/1t1DKhOQGreSpwqllHe_cnoUbj7012kuBvUPa1eH_OuQ/edit?usp=sharing",We have updated all the changes as requested as discussed on the call,Low,Chris Hughes,Uday Bodduna,"1/23/2025, 8:58 PM",23,Configuration,Forecast - Update,538,256
,210207,Wallix,create a new tab for Forecast,"Hello,
Can you please create a Forecast tab called ""N&U by Revenue Type""?
I suggest, if possible, to clone ""New business Forecast"" keeping the names on the left as it is, and the abscissa as follows: 
- period in the first row, 
- the 'revenue type' in the second row, 
- and the already existing classification in the third row.
Is this possible?
Thank you",NA,Low,Said Mussa,Séverine VIGNETTA,"1/24/2025, 3:10 AM",44,Configuration,Forecast - Update,1074,494.8275
,210319,WSC Sports Technologies,BD Forecast Category,"Hello,
We noticed that when the BD moves an opportunity from Pipeline to Best Case or Commit, it is not reflected in the forecast if the TL and RL forecasts remain in Pipeline",updated the configuration forForecast column of the Bizdev Forecast column.,Low,Pooled CSM,Lilach Gabai,"1/24/2025, 2:34 PM",23,Forecasting,Config Discrepancy,546,243.4230556
,210322,"Acquia, Inc.","Update Forecast ""Admin Tab"" - remove monsido filters and values","Hi Support - 
We are no longer forecasting our Monsido business separately in clari, so I'd like to remove the monsido filters from those fields, and remove the Monsido specific fields entirely.
I'd like for these changes to go live on Wednesday 29 January - NOT BEFORE then - so that our forecast this week is not disrupted.
Here are the changes:
Potential MY Opp - remove this filter - 'Territory Label' not in [""Monsido""]
Renewal Bookings MY Opp - remove this filter -MONSIDO LEGACY ID Value Not Assigned
Renewal Commit MY Opp - remove this filter - TERRITORY LABEL (EXCLUDED) Monsido
Renewal Forecast MY Opp - remove this filter - TERRITORY LABEL (EXCLUDED) Monsido
Renewal Best MY Opp - remove this filter - TERRITORY LABEL (EXCLUDED) Monsido
Potential MY QL - remove this filter - 'Territory Label' not in [""Monsido""]
Renewal Bookings MY QL - remove this filter - 'Territory Label' not in [""Monsido""]

Remove these values completely:
Monsido Potential MY Opp
Monsido Renewal Bookings MY Opp
Mon","updated the columns in the ""Admin Tab - DO NOT OPT IN"" tab as requested.deleted the Monsido Renewals tab.",Low,Ana Weller,Lucio Silvestri,"1/24/2025, 2:38 PM",13,Configuration,Forecast - Update,306,138.0525
